,Player ID,First Name,Last Name,Year,AB,H,HR,RBI,SO,POS,Adjusted Salary,BA
5735,damonjo01,Johnny,Damon,1998,642,178,18,66.0,84.0,OF,677320,0.277
5736,damonjo01,Johnny,Damon,1999,583,179,14,77.0,50.0,OF,3025298,0.307
5737,damonjo01,Johnny,Damon,2000,655,214,16,88.0,60.0,OF,5575075,0.327
5738,damonjo01,Johnny,Damon,2001,644,165,9,49.0,70.0,OF,9621963,0.256
5739,damonjo01,Johnny,Damon,2002,623,178,14,63.0,70.0,OF,9672322,0.286
5740,damonjo01,Johnny,Damon,2003,608,166,12,67.0,74.0,OF,9782894,0.273
5741,damonjo01,Johnny,Damon,2004,621,189,20,94.0,71.0,OF,10164404,0.304
5742,damonjo01,Johnny,Damon,2005,624,197,10,75.0,69.0,OF,10138545,0.316
5743,damonjo01,Johnny,Damon,2006,593,169,24,80.0,85.0,OF,15476642,0.285
5744,damonjo01,Johnny,Damon,2007,533,144,12,63.0,79.0,OF,15048041,0.27
5745,damonjo01,Johnny,Damon,2008,555,168,17,71.0,82.0,OF,14491628,0.303
5746,damonjo01,Johnny,Damon,2009,550,155,24,82.0,98.0,OF,14543370,0.282
5747,damonjo01,Johnny,Damon,2010,539,146,8,51.0,90.0,OF,8805334,0.271
5748,damonjo01,Johnny,Damon,2011,582,152,16,73.0,92.0,OF,5601682,0.261
5839,daultda01,Darren,Daulton,1993,510,131,24,105.0,111.0,C,4097006,0.257
5862,davisal01,Alvin,Davis,1985,578,166,18,78.0,71.0,1B,501873,0.287
5877,davisch01,Chili,Davis,1986,526,146,13,70.0,96.0,OF,1510993,0.278
5879,davisch01,Chili,Davis,1988,600,161,21,93.0,118.0,OF,1724480,0.268
5880,davisch01,Chili,Davis,1989,560,152,22,90.0,109.0,OF,2854922,0.271
5882,davisch01,Chili,Davis,1991,534,148,29,93.0,117.0,OF,2995682,0.277
5884,davisch01,Chili,Davis,1993,573,139,27,112.0,135.0,OF,3986275,0.243
5887,davisch01,Chili,Davis,1996,530,155,28,95.0,99.0,OF,5812789,0.292
5893,davisch02,Chris,Davis,2012,515,139,33,85.0,169.0,1B,510133,0.27
5894,davisch02,Chris,Davis,2013,584,167,53,138.0,199.0,1B,3399868,0.286
5896,davisch02,Chris,Davis,2015,573,150,47,117.0,208.0,1B,12151382,0.262
5897,davisch02,Chris,Davis,2016,566,125,38,84.0,219.0,1B,21268890,0.221
5924,davisgl01,Glenn,Davis,1986,574,152,31,101.0,72.0,1B,262781,0.265
5925,davisgl01,Glenn,Davis,1987,578,145,27,93.0,84.0,1B,454239,0.251
5926,davisgl01,Glenn,Davis,1988,561,152,30,99.0,77.0,1B,689792,0.271
5927,davisgl01,Glenn,Davis,1989,581,156,34,89.0,123.0,1B,2100061,0.269
5933,davisik02,Ike,Davis,2012,519,118,32,90.0,141.0,1B,529670,0.227
5946,davisjo02,Jody,Davis,1986,528,132,21,74.0,110.0,C,1824870,0.25
5960,daviskh01,Khris,Davis,2016,555,137,42,102.0,166.0,OF,524500,0.247
5972,davismi02,Mike,Davis,1985,547,157,24,82.0,99.0,1B,680317,0.287
5980,davisra01,Rajai,Davis,2010,525,149,5,52.0,78.0,OF,1485900,0.284
5994,davisru01,Russ,Davis,1998,502,130,20,82.0,134.0,3B,1472436,0.259
6025,dawsoan01,Andre,Dawson,1985,529,135,23,91.0,92.0,OF,2304899,0.255
6027,dawsoan01,Andre,Dawson,1987,621,178,49,137.0,103.0,OF,1478916,0.287
6028,dawsoan01,Andre,Dawson,1988,591,179,24,79.0,73.0,OF,3753279,0.303
6030,dawsoan01,Andre,Dawson,1990,529,164,27,100.0,65.0,OF,3856272,0.31
6031,dawsoan01,Andre,Dawson,1991,563,153,31,104.0,80.0,OF,5859202,0.272
6032,dawsoan01,Andre,Dawson,1992,542,150,22,90.0,70.0,OF,5645211,0.277
6052,deazaal01,Alejandro,De Aza,2012,524,147,9,50.0,109.0,OF,517450,0.281
6053,deazaal01,Alejandro,De Aza,2013,607,160,17,62.0,147.0,OF,2137796,0.264
6061,decindo01,Doug,DeCinces,1986,512,131,26,96.0,74.0,2B,2627814,0.256
6108,dejesda01,David,DeJesus,2007,605,157,7,58.0,83.0,OF,2315083,0.26
6109,dejesda01,David,DeJesus,2008,518,159,12,73.0,71.0,OF,2786852,0.307
6110,dejesda01,David,DeJesus,2009,558,157,13,71.0,87.0,OF,4027395,0.281
6113,dejesda01,David,DeJesus,2012,506,133,9,50.0,89.0,OF,4442754,0.263
6172,delgaca01,Carlos,Delgado,1997,519,136,30,91.0,133.0,C,747685,0.262
6173,delgaca01,Carlos,Delgado,1998,530,155,38,115.0,139.0,C,3533845,0.292
6174,delgaca01,Carlos,Delgado,1999,573,156,44,134.0,141.0,C,7311138,0.272
6175,delgaca01,Carlos,Delgado,2000,569,196,41,137.0,104.0,C,9198875,0.344
6176,delgaca01,Carlos,Delgado,2001,574,160,39,102.0,136.0,C,18498563,0.279
6177,delgaca01,Carlos,Delgado,2002,505,140,33,108.0,126.0,C,25881800,0.277
6178,delgaca01,Carlos,Delgado,2003,570,172,42,145.0,137.0,C,24392016,0.302
6180,delgaca01,Carlos,Delgado,2005,521,157,33,115.0,121.0,C,4915658,0.301
6181,delgaca01,Carlos,Delgado,2006,524,139,38,114.0,120.0,C,16071897,0.265
6182,delgaca01,Carlos,Delgado,2007,538,139,24,87.0,118.0,C,16784354,0.258
6183,delgaca01,Carlos,Delgado,2008,598,162,38,115.0,124.0,C,17835850,0.271
6276,derosma01,Mark,DeRosa,2006,520,154,13,74.0,102.0,SS,803595,0.296
6277,derosma01,Mark,DeRosa,2007,502,147,10,72.0,93.0,SS,3183240,0.293
6278,derosma01,Mark,DeRosa,2008,505,144,21,87.0,106.0,SS,5295018,0.285
6303,deshide01,Delino,DeShields,1992,530,155,7,56.0,108.0,2B,517478,0.292
6307,deshide01,Delino,DeShields,1996,581,130,5,41.0,124.0,2B,4589044,0.224
6308,deshide01,Delino,DeShields,1997,572,169,11,58.0,72.0,2B,2392593,0.295
6311,deshide01,Delino,DeShields,2000,561,166,10,86.0,82.0,2B,5866825,0.296
6317,desmoia01,Ian,Desmond,2010,525,141,10,65.0,109.0,2B,440267,0.269
6318,desmoia01,Ian,Desmond,2011,584,148,8,49.0,139.0,2B,471075,0.253
6319,desmoia01,Ian,Desmond,2012,513,150,25,73.0,113.0,2B,535744,0.292
6320,desmoia01,Ian,Desmond,2013,600,168,20,80.0,145.0,2B,3915000,0.28
6321,desmoia01,Ian,Desmond,2014,593,151,24,91.0,183.0,2B,6589811,0.255
6322,desmoia01,Ian,Desmond,2015,583,136,19,62.0,187.0,2B,11138766,0.233
6323,desmoia01,Ian,Desmond,2016,625,178,22,86.0,160.0,2B,8000000,0.285
6337,destror01,Orestes,Destrade,1993,569,145,20,87.0,130.0,1B,3321896,0.255
6349,devermi01,Mike,Devereaux,1991,608,158,19,59.0,115.0,OF,370055,0.26
6350,devermi01,Mike,Devereaux,1992,653,180,24,107.0,94.0,OF,1753437,0.276
6351,devermi01,Mike,Devereaux,1993,527,132,14,75.0,99.0,OF,5024368,0.25
6427,dickeco01,Corey,Dickerson,2016,510,125,24,70.0,134.0,OF,522900,0.245
6485,disarga01,Gary,Disarcina,1992,518,128,3,42.0,50.0,SS,230940,0.247
6489,disarga01,Gary,Disarcina,1996,536,137,5,48.0,36.0,SS,2447490,0.256
6490,disarga01,Gary,Disarcina,1997,549,135,4,47.0,29.0,SS,4037501,0.246
6491,disarga01,Gary,Disarcina,1998,551,158,3,56.0,51.0,SS,4122820,0.287
6520,dominma01,Matt,Dominguez,2013,543,131,21,77.0,96.0,3B,506683,0.241
6521,dominma01,Matt,Dominguez,2014,564,121,16,57.0,125.0,3B,517148,0.215
6525,donaljo02,Josh,Donaldson,2013,579,174,24,93.0,110.0,1B,507405,0.301
6526,donaljo02,Josh,Donaldson,2014,608,155,29,98.0,130.0,1B,506909,0.255
6527,donaljo02,Josh,Donaldson,2015,620,184,41,123.0,133.0,1B,4354245,0.297
6528,donaljo02,Josh,Donaldson,2016,577,164,37,99.0,119.0,1B,11650000,0.284
6551,doranbi02,Bill,Doran,1985,578,166,14,59.0,69.0,2B,724928,0.287
6552,doranbi02,Bill,Doran,1986,550,152,6,37.0,57.0,2B,1204415,0.276
6553,doranbi02,Bill,Doran,1987,625,177,16,79.0,64.0,2B,1320461,0.283
6555,doranbi02,Bill,Doran,1989,507,111,8,58.0,63.0,2B,1805859,0.219
6606,downibr01,Brian,Downing,1985,520,137,20,85.0,61.0,3B,1803026,0.263
6607,downibr01,Brian,Downing,1986,513,137,20,95.0,84.0,3B,1770124,0.267
6608,downibr01,Brian,Downing,1987,567,154,29,77.0,85.0,3B,1901464,0.272
6610,downibr01,Brian,Downing,1989,544,154,14,59.0,87.0,3B,2419425,0.283
6636,doziebr01,Brian,Dozier,2013,558,136,18,66.0,120.0,SS,512556,0.244
6637,doziebr01,Brian,Dozier,2014,598,145,23,71.0,129.0,SS,547461,0.242
6638,doziebr01,Brian,Dozier,2015,628,148,28,77.0,148.0,SS,2025230,0.236
6639,doziebr01,Brian,Dozier,2016,615,165,42,99.0,138.0,SS,3000000,0.268
6684,drewjd01,J. D.,Drew,2004,518,158,31,93.0,116.0,OF,5336312,0.305
6692,drewst01,Stephen,Drew,2007,543,129,12,60.0,100.0,SS,1736312,0.238
6693,drewst01,Stephen,Drew,2008,611,178,21,67.0,109.0,SS,1672111,0.291
6694,drewst01,Stephen,Drew,2009,533,139,12,65.0,87.0,SS,1678081,0.261
6695,drewst01,Stephen,Drew,2010,565,157,15,61.0,108.0,SS,3742267,0.278
6747,dudalu01,Lucas,Duda,2014,514,130,30,92.0,135.0,OF,1660125,0.253
6764,duffyma01,Matt,Duffy,2015,573,169,12,77.0,96.0,2B,515421,0.295
6790,duncama01,Mariano,Duncan,1985,562,137,6,39.0,113.0,2B,133833,0.244
6797,duncama01,Mariano,Duncan,1992,574,153,8,50.0,108.0,2B,3421340,0.267
6808,dunnad01,Adam,Dunn,2002,535,133,26,71.0,170.0,OF,333528,0.249
6810,dunnad01,Adam,Dunn,2004,568,151,46,102.0,195.0,OF,565395,0.266
6811,dunnad01,Adam,Dunn,2005,543,134,40,101.0,168.0,OF,5653007,0.247
6812,dunnad01,Adam,Dunn,2006,561,131,40,92.0,194.0,OF,8928832,0.234
6813,dunnad01,Adam,Dunn,2007,522,138,40,106.0,165.0,OF,12154187,0.264
6816,dunnad01,Adam,Dunn,2009,546,146,38,105.0,177.0,OF,8949766,0.267
6817,dunnad01,Adam,Dunn,2010,558,145,38,103.0,199.0,OF,13208002,0.26
6819,dunnad01,Adam,Dunn,2012,539,110,41,96.0,222.0,OF,14634956,0.204
6820,dunnad01,Adam,Dunn,2013,525,115,34,86.0,189.0,OF,15453946,0.219
6833,dunstsh01,Shawon,Dunston,1986,581,145,17,68.0,114.0,SS,218984,0.25
6835,dunstsh01,Shawon,Dunston,1988,575,143,9,56.0,108.0,SS,420976,0.249
6837,dunstsh01,Shawon,Dunston,1990,545,143,17,66.0,87.0,SS,2295400,0.262
6862,durazer01,Erubiel,Durazo,2003,537,139,21,77.0,105.0,1B,1389171,0.259
6863,durazer01,Erubiel,Durazo,2004,511,164,22,88.0,104.0,1B,2668156,0.321
6878,durhale01,Leon,Durham,1985,542,153,21,75.0,99.0,1B,1784439,0.282
6885,durhara01,Ray,Durham,1996,557,153,10,65.0,95.0,2B,229452,0.275
6886,durhara01,Ray,Durham,1997,634,172,11,53.0,96.0,2B,463565,0.271
6887,durhara01,Ray,Durham,1998,635,181,19,67.0,105.0,2B,2849163,0.285
6888,durhara01,Ray,Durham,1999,612,181,13,60.0,105.0,2B,4898102,0.296
6889,durhara01,Ray,Durham,2000,614,172,17,75.0,105.0,2B,6829467,0.28
6890,durhara01,Ray,Durham,2001,611,163,20,65.0,110.0,2B,12196855,0.267
6903,duvalad01,Adam,Duvall,2016,552,133,33,103.0,164.0,1B,510000,0.241
6916,dyeje01,Jermaine,Dye,1999,608,179,27,119.0,119.0,OF,374561,0.294
6917,dyeje01,Jermaine,Dye,2000,601,193,33,118.0,99.0,OF,3205668,0.321
6922,dyeje01,Jermaine,Dye,2004,532,141,23,80.0,128.0,OF,14823090,0.265
6923,dyeje01,Jermaine,Dye,2005,529,145,31,86.0,99.0,OF,4915658,0.274
6924,dyeje01,Jermaine,Dye,2006,539,170,44,120.0,118.0,OF,5952555,0.315
6925,dyeje01,Jermaine,Dye,2007,508,129,28,78.0,107.0,OF,8681562,0.254
6926,dyeje01,Jermaine,Dye,2008,590,172,34,96.0,104.0,OF,10590036,0.292
6927,dyeje01,Jermaine,Dye,2009,503,126,27,81.0,108.0,OF,12865289,0.25
6937,dykstle01,Lenny,Dykstra,1990,590,192,9,60.0,48.0,OF,1285424,0.325
6940,dykstle01,Lenny,Dykstra,1993,637,194,19,66.0,64.0,OF,5093575,0.305
6957,easleda01,Damion,Easley,1997,527,139,22,72.0,102.0,3B,1009375,0.264
6958,easleda01,Damion,Easley,1998,594,161,27,100.0,112.0,3B,3018493,0.271
6959,easleda01,Damion,Easley,1999,549,146,20,65.0,124.0,3B,4826071,0.266
6961,easleda01,Damion,Easley,2001,585,146,11,65.0,90.0,3B,6877671,0.25
6968,easlemi01,Mike,Easler,1985,568,149,16,74.0,129.0,OF,1449856,0.262
6985,eatonad02,Adam,Eaton,2015,610,175,14,56.0,131.0,OF,860723,0.287
6986,eatonad02,Adam,Eaton,2016,619,176,14,59.0,115.0,OF,2750000,0.284
7006,eckstda01,David,Eckstein,2001,582,166,4,41.0,60.0,2B,271041,0.285
7007,eckstda01,David,Eckstein,2002,608,178,8,63.0,44.0,2B,373552,0.293
7009,eckstda01,David,Eckstein,2004,566,156,2,35.0,49.0,2B,2731684,0.276
7010,eckstda01,David,Eckstein,2005,630,185,8,61.0,44.0,2B,2867467,0.294
7015,eckstda01,David,Eckstein,2009,503,131,2,51.0,46.0,2B,950913,0.26
7031,edmonji01,Jim,Edmonds,1995,558,162,33,107.0,130.0,OF,263787,0.29
7033,edmonji01,Jim,Edmonds,1997,502,146,26,80.0,80.0,OF,3028126,0.291
7034,edmonji01,Jim,Edmonds,1998,599,184,25,91.0,114.0,OF,4674983,0.307
7036,edmonji01,Jim,Edmonds,2000,525,155,42,108.0,167.0,OF,6271960,0.295
7133,ellisma01,Mark,Ellis,2003,553,137,9,52.0,94.0,2B,401099,0.248
7136,ellisma01,Mark,Ellis,2007,583,161,19,76.0,94.0,2B,4051396,0.276
7145,ellsbja01,Jacoby,Ellsbury,2008,554,155,9,47.0,80.0,OF,452585,0.28
7146,ellsbja01,Jacoby,Ellsbury,2009,624,188,8,60.0,74.0,OF,502865,0.301
7148,ellsbja01,Jacoby,Ellsbury,2011,660,212,32,105.0,98.0,OF,2560769,0.321
7150,ellsbja01,Jacoby,Ellsbury,2013,577,172,9,53.0,92.0,OF,9272368,0.298
7151,ellsbja01,Jacoby,Ellsbury,2014,575,156,16,70.0,93.0,OF,21434990,0.271
7153,ellsbja01,Jacoby,Ellsbury,2016,551,145,9,56.0,84.0,OF,21142857,0.263
7166,elsteke01,Kevin,Elster,1996,515,130,24,99.0,138.0,SS,413014,0.252
7195,encared01,Edwin,Encarnacion,2007,502,145,16,76.0,86.0,3B,471698,0.289
7196,encared01,Edwin,Encarnacion,2008,506,127,26,68.0,102.0,3B,501633,0.251
7201,encared01,Edwin,Encarnacion,2012,542,152,42,110.0,94.0,3B,3658739,0.28
7202,encared01,Edwin,Encarnacion,2013,530,144,36,104.0,62.0,3B,8242105,0.272
7204,encared01,Edwin,Encarnacion,2015,528,146,39,111.0,98.0,3B,10126151,0.277
7205,encared01,Edwin,Encarnacion,2016,601,158,42,127.0,138.0,3B,10000000,0.263
7207,encarju01,Juan,Encarnacion,1999,509,130,19,74.0,113.0,OF,335664,0.255
7208,encarju01,Juan,Encarnacion,2000,547,158,14,72.0,90.0,OF,452975,0.289
7212,encarju01,Juan,Encarnacion,2003,601,162,19,94.0,82.0,OF,4500131,0.27
7215,encarju01,Juan,Encarnacion,2005,506,145,16,76.0,104.0,OF,5450236,0.287
7216,encarju01,Juan,Encarnacion,2006,557,155,19,79.0,86.0,OF,4166788,0.278
7226,ensbemo01,Morgan,Ensberg,2005,526,149,36,101.0,119.0,3B,553012,0.283
7258,erstada01,Darin,Erstad,1997,539,161,16,77.0,86.0,OF,261690,0.299
7259,erstada01,Darin,Erstad,1998,537,159,19,82.0,77.0,OF,809840,0.296
7260,erstada01,Darin,Erstad,1999,585,148,13,53.0,101.0,OF,1152495,0.253
7261,erstada01,Darin,Erstad,2000,676,240,25,100.0,82.0,OF,3484422,0.355
7262,erstada01,Darin,Erstad,2001,631,163,9,63.0,113.0,OF,4675461,0.258
7263,erstada01,Darin,Erstad,2002,625,177,10,73.0,67.0,OF,8338209,0.283
7266,erstada01,Darin,Erstad,2005,609,166,7,66.0,109.0,OF,10138545,0.273
7274,esaskni01,Nick,Esasky,1989,564,156,30,108.0,117.0,3B,1103258,0.277
7279,escobal02,Alcides,Escobar,2010,506,119,4,41.0,70.0,SS,446320,0.235
7280,escobal02,Alcides,Escobar,2011,548,139,4,46.0,73.0,SS,456670,0.254
7281,escobal02,Alcides,Escobar,2012,605,177,5,52.0,100.0,SS,543061,0.293
7282,escobal02,Alcides,Escobar,2013,607,142,4,52.0,84.0,SS,3090789,0.234
7283,escobal02,Alcides,Escobar,2014,579,165,3,50.0,83.0,SS,3041451,0.285
7284,escobal02,Alcides,Escobar,2015,612,157,3,47.0,75.0,SS,3037845,0.257
7285,escobal02,Alcides,Escobar,2016,637,166,7,55.0,96.0,SS,5250000,0.261
7304,escobyu01,Yunel,Escobar,2008,514,148,10,60.0,62.0,2B,448683,0.288
7305,escobyu01,Yunel,Escobar,2009,528,158,14,76.0,62.0,2B,475456,0.299
7308,escobyu01,Yunel,Escobar,2011,513,149,11,48.0,70.0,2B,3094262,0.29
7309,escobyu01,Yunel,Escobar,2012,558,141,9,51.0,70.0,2B,5226770,0.253
7310,escobyu01,Yunel,Escobar,2013,508,130,9,56.0,73.0,2B,5151315,0.256
7312,escobyu01,Yunel,Escobar,2015,535,168,9,56.0,70.0,2B,5063076,0.314
7313,escobyu01,Yunel,Escobar,2016,517,157,5,39.0,67.0,2B,7000000,0.304
7318,espinal01,Alvaro,Espinoza,1989,503,142,0,41.0,60.0,SS,131617,0.282
7326,espinda01,Danny,Espinosa,2011,573,135,21,66.0,166.0,2B,442800,0.236
7327,espinda01,Danny,Espinosa,2012,594,147,17,56.0,189.0,2B,528949,0.247
7331,espinda01,Danny,Espinosa,2016,516,108,24,72.0,174.0,2B,2875000,0.209
7372,ethiean01,Andre,Ethier,2008,525,160,20,77.0,88.0,OF,473207,0.305
7373,ethiean01,Andre,Ethier,2009,596,162,31,106.0,116.0,OF,3468034,0.272
7374,ethiean01,Andre,Ethier,2010,517,151,23,82.0,102.0,OF,6328834,0.292
7376,ethiean01,Andre,Ethier,2012,556,158,20,89.0,124.0,OF,11446626,0.284
7390,evansda01,Darrell,Evans,1985,505,125,40,94.0,85.0,3B,2416427,0.248
7391,evansda01,Darrell,Evans,1986,507,122,29,85.0,105.0,3B,1737276,0.241
7395,evansdw01,Dwight,Evans,1985,617,162,29,78.0,105.0,OF,1784439,0.263
7396,evansdw01,Dwight,Evans,1986,529,137,26,97.0,117.0,OF,2228730,0.259
7397,evansdw01,Dwight,Evans,1987,541,165,34,123.0,98.0,OF,2260629,0.305
7398,evansdw01,Dwight,Evans,1988,559,164,21,111.0,99.0,OF,3246079,0.293
7399,evansdw01,Dwight,Evans,1989,520,148,20,100.0,84.0,OF,2129094,0.285
7411,everead01,Adam,Everett,2005,549,136,11,54.0,103.0,SS,546867,0.248
7412,everead01,Adam,Everett,2006,514,123,6,59.0,71.0,SS,2261971,0.239
7576,felixju01,Junior,Felix,1992,509,125,9,72.0,128.0,OF,1094829,0.246
7591,felizpe01,Pedro,Feliz,2004,503,139,22,84.0,85.0,3B,1079968,0.276
7592,felizpe01,Pedro,Feliz,2005,569,142,20,81.0,102.0,3B,2857226,0.25
7593,felizpe01,Pedro,Feliz,2006,603,147,22,98.0,112.0,3B,4762044,0.244
7594,felizpe01,Pedro,Feliz,2007,557,141,20,72.0,70.0,3B,5903462,0.253
7596,felizpe01,Pedro,Feliz,2009,580,154,12,82.0,68.0,3B,5593604,0.266
7641,fernato01,Tony,Fernandez,1985,564,163,2,51.0,41.0,SS,284395,0.289
7642,fernato01,Tony,Fernandez,1986,687,213,10,65.0,52.0,SS,602207,0.31
7643,fernato01,Tony,Fernandez,1987,578,186,5,67.0,48.0,SS,845095,0.322
7644,fernato01,Tony,Fernandez,1988,648,186,5,70.0,65.0,SS,1775200,0.287
7645,fernato01,Tony,Fernandez,1989,573,147,11,64.0,51.0,SS,2709756,0.257
7646,fernato01,Tony,Fernandez,1990,635,175,4,66.0,70.0,SS,2754480,0.276
7647,fernato01,Tony,Fernandez,1991,558,152,4,38.0,74.0,SS,3700548,0.272
7648,fernato01,Tony,Fernandez,1992,622,171,4,37.0,62.0,SS,3592407,0.275
7678,fickro01,Robert,Fick,2002,556,150,17,63.0,90.0,1B,1534230,0.27
7687,fieldce01,Cecil,Fielder,1990,573,159,51,132.0,182.0,1B,2295400,0.277
7688,fieldce01,Cecil,Fielder,1991,624,163,44,133.0,151.0,1B,3083790,0.261
7689,fieldce01,Cecil,Fielder,1992,594,145,35,124.0,151.0,1B,7698015,0.244
7690,fieldce01,Cecil,Fielder,1993,573,153,30,117.0,125.0,1B,7079791,0.267
7709,fieldpr01,Prince,Fielder,2006,569,154,28,81.0,125.0,1B,392273,0.271
7710,fieldpr01,Prince,Fielder,2007,573,165,50,119.0,121.0,1B,480380,0.288
7711,fieldpr01,Prince,Fielder,2008,588,162,34,102.0,134.0,1B,746876,0.276
7712,fieldpr01,Prince,Fielder,2009,591,177,46,141.0,138.0,1B,7831045,0.299
7713,fieldpr01,Prince,Fielder,2010,578,151,32,83.0,138.0,1B,12107335,0.261
7714,fieldpr01,Prince,Fielder,2011,569,170,38,120.0,106.0,1B,16538299,0.299
7715,fieldpr01,Prince,Fielder,2012,581,182,30,108.0,84.0,1B,24043141,0.313
7716,fieldpr01,Prince,Fielder,2013,624,174,25,106.0,117.0,1B,23696051,0.279
7718,fieldpr01,Prince,Fielder,2015,613,187,23,98.0,88.0,1B,24302763,0.305
7734,figgich01,Chone,Figgins,2004,577,171,5,60.0,94.0,2B,406576,0.296
7735,figgich01,Chone,Figgins,2005,642,186,8,57.0,101.0,2B,479277,0.29
7736,figgich01,Chone,Figgins,2006,604,161,9,62.0,100.0,2B,2678650,0.267
7739,figgich01,Chone,Figgins,2009,615,183,5,54.0,114.0,2B,6460613,0.298
7740,figgich01,Chone,Figgins,2010,602,156,1,35.0,114.0,2B,9355668,0.259
7777,finlest01,Steve,Finley,1991,596,170,8,54.0,65.0,OF,493406,0.285
7778,finlest01,Steve,Finley,1992,607,177,5,55.0,63.0,OF,2069911,0.292
7779,finlest01,Steve,Finley,1993,545,145,8,44.0,65.0,OF,4816749,0.266
7781,finlest01,Steve,Finley,1995,562,167,10,44.0,62.0,OF,7086821,0.297
7782,finlest01,Steve,Finley,1996,655,195,30,95.0,87.0,OF,4415688,0.298
7783,finlest01,Steve,Finley,1997,560,146,28,92.0,92.0,OF,4466182,0.261
7784,finlest01,Steve,Finley,1998,619,154,14,67.0,103.0,OF,5006281,0.249
7785,finlest01,Steve,Finley,1999,590,156,34,103.0,94.0,OF,7743323,0.264
7786,finlest01,Steve,Finley,2000,539,151,35,96.0,87.0,OF,7491508,0.28
7788,finlest01,Steve,Finley,2002,505,145,25,89.0,73.0,OF,7170860,0.287
7789,finlest01,Steve,Finley,2003,516,148,22,70.0,94.0,OF,5543640,0.287
7806,fiskca01,Carlton,Fisk,1985,543,129,37,107.0,81.0,C,1527926,0.238
7882,fletcsc01,Scott,Fletcher,1986,530,159,3,50.0,59.0,2B,618631,0.3
7883,fletcsc01,Scott,Fletcher,1988,515,142,0,47.0,34.0,2B,1166560,0.276
7886,fletcsc01,Scott,Fletcher,1990,509,123,4,56.0,63.0,2B,1836320,0.242
7932,floydcl01,Cliff,Floyd,1998,588,166,22,90.0,112.0,1B,736218,0.282
7935,floydcl01,Cliff,Floyd,2001,555,176,31,103.0,101.0,1B,7453634,0.317
7941,floydcl01,Cliff,Floyd,2005,550,150,34,98.0,98.0,1B,8131550,0.273
8003,fordle01,Lew,Ford,2005,522,138,7,53.0,85.0,OF,473132,0.264
8028,forsylo01,Logan,Forsythe,2015,540,152,17,68.0,111.0,2B,1113877,0.281
8029,forsylo01,Logan,Forsythe,2016,511,135,20,52.0,127.0,2B,2250000,0.264
8083,fowlede01,Dexter,Fowler,2015,596,149,17,46.0,154.0,OF,9619844,0.25
8086,foxan01,Andy,Fox,1998,502,139,9,44.0,97.0,2B,353385,0.277
8128,francje02,Jeff,Francoeur,2006,651,169,29,103.0,132.0,OF,457751,0.26
8129,francje02,Jeff,Francoeur,2007,642,188,19,105.0,129.0,OF,494849,0.293
8130,francje02,Jeff,Francoeur,2008,599,143,11,71.0,111.0,OF,512781,0.239
8135,francje02,Jeff,Francoeur,2011,601,171,20,87.0,123.0,OF,2667468,0.285
8136,francje02,Jeff,Francoeur,2012,561,132,16,49.0,119.0,OF,7056139,0.235
8162,francju01,Julio,Franco,1985,636,183,6,90.0,74.0,3B,1014899,0.288
8163,francju01,Julio,Franco,1986,599,183,10,74.0,66.0,3B,1259161,0.306
8165,francju01,Julio,Franco,1988,613,186,10,54.0,72.0,3B,1978080,0.303
8166,francju01,Julio,Franco,1989,548,173,13,92.0,69.0,3B,2516202,0.316
8167,francju01,Julio,Franco,1990,582,172,11,69.0,83.0,3B,2999322,0.296
8168,francju01,Julio,Franco,1991,589,201,15,78.0,78.0,3B,4141090,0.341
8170,francju01,Julio,Franco,1993,532,154,14,84.0,95.0,3B,4982844,0.289
8195,francma02,Maikel,Franco,2016,581,148,25,88.0,106.0,1B,517500,0.255
8257,frazito01,Todd,Frazier,2013,531,124,19,73.0,125.0,1B,543464,0.234
8258,frazito01,Todd,Frazier,2014,597,163,29,80.0,139.0,1B,608290,0.273
8259,frazito01,Todd,Frazier,2015,619,158,35,89.0,137.0,1B,4556768,0.255
8260,frazito01,Todd,Frazier,2016,590,133,40,98.0,163.0,1B,8250000,0.225
8263,freelry01,Ryan,Freel,2004,505,140,3,28.0,88.0,2B,406576,0.277
8272,freemfr01,Freddie,Freeman,2011,571,161,21,76.0,142.0,1B,441733,0.282
8273,freemfr01,Freddie,Freeman,2012,540,140,23,94.0,129.0,1B,559264,0.259
8274,freemfr01,Freddie,Freeman,2013,551,176,23,109.0,121.0,1B,576947,0.319
8275,freemfr01,Freddie,Freeman,2014,607,175,18,78.0,145.0,1B,5195813,0.288
8277,freemfr01,Freddie,Freeman,2016,589,178,34,91.0,171.0,1B,12359375,0.302
8332,frymatr01,Travis,Fryman,1991,557,144,21,91.0,149.0,3B,264325,0.259
8333,frymatr01,Travis,Fryman,1992,659,175,20,96.0,144.0,3B,513201,0.266
8334,frymatr01,Travis,Fryman,1993,607,182,22,97.0,128.0,3B,1121140,0.3
8336,frymatr01,Travis,Fryman,1995,567,156,15,81.0,100.0,3B,6535624,0.275
8337,frymatr01,Travis,Fryman,1996,616,165,22,100.0,118.0,3B,7916101,0.268
8338,frymatr01,Travis,Fryman,1997,595,163,22,102.0,113.0,3B,9570373,0.274
8339,frymatr01,Travis,Fryman,1998,557,160,28,96.0,125.0,3B,7951152,0.287
8341,frymatr01,Travis,Fryman,2000,574,184,22,106.0,111.0,3B,7735417,0.321
